sensor_index,sensor_id,index,latitude,longitude
sensor_000,773869,0,34.15497,-118.31829
sensor_001,767541,1,34.11621,-118.23799
sensor_002,767542,2,34.11641,-118.23819
sensor_003,717447,3,34.07248,-118.26772
sensor_004,717446,4,34.07142,-118.26572
sensor_005,717445,5,34.06913,-118.25932
sensor_006,773062,6,34.05368,-118.23369
sensor_007,767620,7,34.13486,-118.22932
sensor_008,737529,8,34.20264,-118.47352
sensor_009,717816,9,34.15562,-118.4686
sensor_010,765604,10,34.16415,-118.38223
sensor_011,767471,11,34.15691,-118.22469
sensor_012,716339,12,34.07821,-118.28795
sensor_013,773906,13,34.1566,-118.30266
sensor_014,765273,14,34.18949,-118.47437
sensor_015,716331,15,34.07006,-118.26246
sensor_016,771667,16,34.07314,-118.23388
sensor_017,716337,17,34.07732,-118.28186
sensor_018,769953,18,34.20672,-118.19992
sensor_019,769402,19,34.12095,-118.33911
sensor_020,769403,20,34.12073,-118.33928
sensor_021,769819,21,34.20584,-118.19803
sensor_022,769405,22,34.12634,-118.34482
sensor_023,716941,23,34.05767,-118.21435
sensor_024,717578,24,34.15478,-118.27076
sensor_025,716960,25,34.12121,-118.27164
sensor_026,717804,26,34.09478,-118.47605
sensor_027,767572,27,34.12967,-118.22871
sensor_028,767573,28,34.12964,-118.22901
sensor_029,773012,29,34.0839,-118.22086
sensor_030,773013,30,34.08374,-118.22076
sensor_031,764424,31,34.17878,-118.39469
sensor_032,769388,32,34.11027,-118.33441
sensor_033,716328,33,34.06664,-118.25397
sensor_034,717819,34,34.18784,-118.47407
sensor_035,769941,35,34.20699,-118.20237
sensor_036,760987,36,34.15359,-118.34043
sensor_037,718204,37,34.15541,-118.29575
sensor_038,718045,38,34.06712,-118.23973
sensor_039,769418,39,34.12659,-118.34465
sensor_040,768066,40,34.15118,-118.3748
sensor_041,772140,41,34.16498,-118.47493
sensor_042,773927,42,34.15262,-118.28034
sensor_043,760024,43,34.1593,-118.46483
sensor_044,774012,44,34.14769,-118.20137
sensor_045,774011,45,34.14747,-118.20123
sensor_046,767609,46,34.18555,-118.21733
sensor_047,769359,47,34.1566,-118.42216
sensor_048,760650,48,34.07505,-118.23256
sensor_049,716956,49,34.10658,-118.25544
sensor_050,769831,50,34.20663,-118.20101
sensor_051,761604,51,34.15407,-118.28711
sensor_052,717495,52,34.15664,-118.41326
sensor_053,716554,53,34.15597,-118.2666
sensor_054,773953,54,34.15522,-118.29344
sensor_055,767470,55,34.15699,-118.22436
sensor_056,716955,56,34.09579,-118.24427
sensor_057,764949,57,34.12881,-118.34684
sensor_058,773954,58,34.15544,-118.29344
sensor_059,767366,59,34.21216,-118.47341
sensor_060,769444,60,34.15555,-118.43908
sensor_061,773939,61,34.15297,-118.37226
sensor_062,774067,62,34.15362,-118.28441
sensor_063,769443,63,34.15574,-118.43931
sensor_064,767750,64,34.09335,-118.20635
sensor_065,767751,65,34.09335,-118.20616
sensor_066,767610,66,34.18555,-118.21766
sensor_067,773880,67,34.15367,-118.3484
sensor_068,764766,68,34.13338,-118.3535
sensor_069,717497,69,34.15685,-118.41456
sensor_070,717490,70,34.14745,-118.37124
sensor_071,717491,71,34.14761,-118.3711
sensor_072,717492,72,34.15459,-118.37935
sensor_073,717493,73,34.15434,-118.39618
sensor_074,765176,74,34.13286,-118.35135
sensor_075,717498,75,34.15571,-118.43273
sensor_076,717499,76,34.15666,-118.44808
sensor_077,765171,77,34.16789,-118.46896
sensor_078,718064,78,34.11296,-118.24489
sensor_079,718066,79,34.12302,-118.22889
sensor_080,765164,80,34.07898,-118.28911
sensor_081,769431,81,34.15843,-118.45664
sensor_082,769430,82,34.15818,-118.45658
sensor_083,717610,83,34.17886,-118.39497
sensor_084,767053,84,34.17091,-118.46775
sensor_085,767621,85,34.13486,-118.22969
sensor_086,772596,86,34.17126,-118.50495
sensor_087,772597,87,34.17109,-118.50495
sensor_088,767350,88,34.18011,-118.47045
sensor_089,767351,89,34.18022,-118.47022
sensor_090,716571,90,34.2,-118.40337
sensor_091,773023,91,34.05773,-118.24348
sensor_092,767585,92,34.16556,-118.22432
sensor_093,773024,93,34.05759,-118.24357
sensor_094,717483,94,34.11684,-118.33698
sensor_095,718379,95,34.14224,-118.27812
sensor_096,717481,96,34.10634,-118.32826
sensor_097,717480,97,34.10478,-118.32497
sensor_098,717486,98,34.12974,-118.34809
sensor_099,764120,99,34.20164,-118.40366
sensor_100,772151,100,34.16928,-118.49872
sensor_101,718371,101,34.09017,-118.23849
sensor_102,717489,102,34.13876,-118.36438
sensor_103,717488,103,34.13561,-118.36006
sensor_104,717818,104,34.1722,-118.46753
sensor_105,718076,105,34.16339,-118.2253
sensor_106,718072,106,34.1491,-118.2257
sensor_107,767455,107,34.14347,-118.22704
sensor_108,767454,108,34.14352,-118.22733
sensor_109,761599,109,34.14226,-118.27786
sensor_110,717099,110,34.15648,-118.24674
sensor_111,773916,111,34.15247,-118.2852
sensor_112,716968,112,34.16588,-118.29809
sensor_113,769467,113,34.15451,-118.39699
sensor_114,717576,114,34.15559,-118.2957
sensor_115,717573,115,34.15384,-118.325
sensor_116,717572,116,34.15351,-118.32751
sensor_117,717571,117,34.15326,-118.35921
sensor_118,717570,118,34.15302,-118.35921
sensor_119,764760,119,34.13401,-118.35506
sensor_120,718089,120,34.12769,-118.27372
sensor_121,769847,121,34.20983,-118.22351
sensor_122,717608,122,34.17154,-118.38812
sensor_123,767523,123,34.11439,-118.24209
sensor_124,716942,124,34.0593,-118.21451
sensor_125,718090,125,34.14847,-118.27969
sensor_126,769867,126,34.21846,-118.23931
sensor_127,717472,127,34.10045,-118.31601
sensor_128,717473,128,34.10054,-118.31581
sensor_129,759591,129,34.11521,-118.26825
sensor_130,764781,130,34.16037,-118.47012
sensor_131,765099,131,34.16378,-118.47224
sensor_132,762329,132,34.13904,-118.22862
sensor_133,716953,133,34.09458,-118.24279
sensor_134,716951,134,34.08581,-118.23182
sensor_135,767509,135,34.11059,-118.24819
sensor_136,765182,136,34.06491,-118.25126
sensor_137,769358,137,34.15679,-118.42222
sensor_138,772513,138,34.06871,-118.23661
sensor_139,716958,139,34.11167,-118.26501
sensor_140,718496,140,34.15403,-118.34232
sensor_141,769346,141,34.15677,-118.40424
sensor_142,773904,142,34.15641,-118.30266
sensor_143,718499,143,34.15469,-118.31253
sensor_144,764853,144,34.06461,-118.25102
sensor_145,761003,145,34.15546,-118.30841
sensor_146,717502,146,34.16521,-118.47484
sensor_147,759602,147,34.12199,-118.27178
sensor_148,717504,148,34.16519,-118.49166
sensor_149,763995,149,34.21979,-118.40931
sensor_150,717508,150,34.17112,-118.51814
sensor_151,765265,151,34.18529,-118.47395
sensor_152,773996,152,34.14511,-118.21587
sensor_153,773995,153,34.14483,-118.21587
sensor_154,717469,154,34.0971,-118.31366
sensor_155,717468,155,34.09699,-118.31381
sensor_156,764106,156,34.17169,-118.38801
sensor_157,717465,157,34.09373,-118.30907
sensor_158,764794,158,34.16028,-118.46808
sensor_159,717466,159,34.09359,-118.30918
sensor_160,717461,160,34.08558,-118.30174
sensor_161,717460,161,34.08571,-118.30161
sensor_162,717463,162,34.09004,-118.3059
sensor_163,717462,163,34.08993,-118.30607
sensor_164,769345,164,34.15655,-118.40441
sensor_165,716943,165,34.05987,-118.21492
sensor_166,772669,166,34.07828,-118.22834
sensor_167,717582,167,34.15646,-118.26092
sensor_168,717583,168,34.15627,-118.25506
sensor_169,717580,169,34.1562,-118.26359
sensor_170,716949,170,34.08406,-118.22974
sensor_171,717587,171,34.15402,-118.23893
sensor_172,772178,172,34.16903,-118.49885
sensor_173,717585,173,34.15564,-118.24188
sensor_174,716939,174,34.04301,-118.21724
sensor_175,768469,175,34.13583,-118.35993
sensor_176,764101,176,34.16421,-118.38246
sensor_177,767554,177,34.11966,-118.23143
sensor_178,773975,178,34.14584,-118.22251
sensor_179,773974,179,34.14559,-118.22251
sensor_180,717510,180,34.17128,-118.51976
sensor_181,717513,181,34.17339,-118.5368
sensor_182,717825,182,34.22164,-118.47307
sensor_183,767495,183,34.10377,-118.24992
sensor_184,767494,184,34.10377,-118.24962
sensor_185,717821,185,34.20112,-118.47361
sensor_186,717823,186,34.20264,-118.47326
sensor_187,717458,187,34.08265,-118.29755
sensor_188,717459,188,34.08294,-118.29729
sensor_189,769926,189,34.21356,-118.23113
sensor_190,764858,190,34.1527,-118.3754
sensor_191,717450,191,34.07488,-118.27362
sensor_192,717452,192,34.07502,-118.27356
sensor_193,717453,193,34.07696,-118.28093
sensor_194,759772,194,34.17115,-118.30539
sensor_195,717456,195,34.08102,-118.29325
sensor_196,771673,196,34.07787,-118.22871
sensor_197,772167,197,34.16526,-118.47985
sensor_198,769372,198,34.1027,-118.3173
sensor_199,774204,199,34.15397,-118.34172
sensor_200,769806,200,34.19638,-118.18442
sensor_201,717590,201,34.14929,-118.23182
sensor_202,717592,202,34.14604,-118.2243
sensor_203,717595,203,34.14163,-118.1829
sensor_204,772168,204,34.16542,-118.47985
sensor_205,718141,205,34.15133,-118.37456
sensor_206,769373,206,34.10262,-118.31747
